Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"6,11,289",6.70%,"21,00,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"5,13,983",9.40%,"15,40,000","Seattle, Washington"
3,ExxonMobil,Petroleum industry,"4,13,680",44.80%,"62,000","Spring, Texas"
4,Apple,Electronics industry,"3,94,328",7.80%,"1,64,000","Cupertino, California"
5,UnitedHealth Group,Healthcare,"3,24,162",12.70%,"4,00,000","Minnetonka, Minnesota"
6,CVS Health,Healthcare,"3,22,467",10.40%,"2,59,500","Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"3,02,089",9.40%,"3,83,000","Omaha, Nebraska"
8,Alphabet,Technology and cloud computing,"2,82,836",9.80%,"1,56,000","Mountain View, California"
9,McKesson Corporation,Health,"2,76,711",4.80%,"48,500","Irving, Texas"
10,Chevron Corporation,Petroleum industry,"2,46,252",51.60%,"43,846","San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,"2,38,587",11.50%,"41,500","Chesterbrook, Pennsylvania"
12,Costco,Retail,"2,26,954",15.80%,"3,04,000","Issaquah, Washington"
13,Microsoft,Technology and cloud computing,"1,98,270",18.00%,"2,21,000","Redmond, Washington"
14,Cardinal Health,Healthcare,"1,81,364",11.60%,"46,035","Dublin, Ohio"
15,Cigna,Health insurance,"1,80,516",3.70%,"70,231","Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"1,80,012",27.60%,"17,800","Findlay, Ohio"
17,Phillips 66,Petroleum industry,"1,75,702",53.00%,"13,000","Houston, Texas"
18,Valero Energy,Petroleum industry,"1,71,189",58.00%,"9,743","San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"1,58,057",15.90%,"1,73,000","Dearborn, Michigan"
20,The Home Depot,Retail,"1,57,403",4.10%,"4,71,600","Atlanta, Georgia"
21,General Motors,Automotive industry,"1,56,735",23.40%,"1,67,000","Detroit, Michigan"
22,Elevance Health,Healthcare,"1,56,595",13.00%,"1,02,200","Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"1,54,792",21.70%,"2,93,723","New York City, New York"
24,Kroger,Retail,"1,48,258",7.50%,"4,30,000","Cincinnati, Ohio"
25,Centene,Healthcare,"1,44,547",14.70%,"74,300","St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"1,36,835",2.40%,"1,17,100","New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"1,32,703",10.70%,"2,62,500","Deerfield, Illinois"
28,Fannie Mae,Financials,"1,21,596",19.70%,"8,000","Washington, D.C."
29,Comcast,Telecommunications,"1,21,427",4.30%,"1,86,000","Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and telecomunications,"1,20,741",28.50%,"1,60,700","Dallas, Texas"
31,Meta Platforms,Technology,"1,16,609",1.10%,"86,482","Menlo Park, California"
32,Bank of America,Financials,"1,15,053",22.60%,"2,16,823","Charlotte, North Carolina"
33,Target Corporation,Retail,"1,09,120",2.90%,"4,40,000","Minneapolis, Minnesota"
34,Dell Technologies,Technology,"1,02,301",4.40%,"1,33,000","Round Rock, Texas"
35,Archer Daniels Midland,Food industry,"1,01,556",19.10%,"41,181","Chicago, Illinois"
36,Citigroup,Financials,"1,01,078",26.60%,"2,38,104","New York City, New York"
37,United Parcel Service,Transportation,"1,00,338",3.10%,"4,04,700","Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,"1,00,330",23.40%,"83,000","New York City, New York"
39,Lowe's,Retail,"97,059",0.80%,"2,44,500","Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.20%,"1,52,700","New Brunswick, New Jersey"
41,FedEx,Transportation,"93,512",11.40%,"5,18,249","Memphis, Tennessee"
42,Humana,Health insurance,"92,870",11.80%,"67,100","Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,"89,876",33.30%,"12,565","Dallas, Texas"
44,State Farm,Financials,"89,328",8.60%,"60,519","Bloomington, Illinois"
45,Freddie Mac,Financials,"86,717",31.60%,"7,819","McLean, Virginia"
46,PepsiCo,Beverage,"86,859",8.70%,"3,15,000","Purchase, New York"
47,Wells Fargo,Financials,"82,859",0.50%,"2,38,000","San Francisco, California"
48,The Walt Disney Company,Media,"82,722",22.70%,"1,95,800","Burbank, California"
49,ConocoPhillips,Petroleum industry,"82,156",69.90%,"9,500","Houston, Texas"
50,Tesla,Automotive and energy,"81,462",51.40%,"1,27,855","Austin, Texas"
51,Procter & Gamble,Consumer products manufacturing,"80,187",5.30%,"1,06,000","Cincinnati, Ohio"
52,United States Postal Service,Logistics,"78,620",2.00%,"5,76,000","Washington, D.C."
53,Albertsons,Retail,"77,650",8.00%,"1,98,650","Boise, Idaho"
54,General Electric,Conglomerate,"76,555",3.20%,"1,72,000","Boston, Massachusetts"
55,MetLife,Financials,"69,898",1.70%,"45,000","New York City, New York"
56,Goldman Sachs,Financials,"68,711",5.70%,"48,500","New York City, New York"
57,Sysco,Food service,"68,636",33.80%,"70,510","Houston, Texas"
58,Bunge Limited,Food industry,"67,232",13.70%,"23,000","White Plains, New York"
59,RTX Corporation,Conglomerate,"67,074",4.20%,"1,82,000","Arlington County, Virginia"
60,Boeing,Aerospace and defense,"66,608",6.90%,"1,56,000","Arlington County, Virginia"
61,StoneX Group,Financials,"66,036",55.30%,"4,000[2]","New York City, New York"
62,Lockheed Martin,Aerospace and defense,"65,984",1.60%,"1,16,000","Bethesda, Maryland"
63,Morgan Stanley,Financials,"65,936",7.90%,"82,427","New York City, New York"
64,Intel,Technology,"63,054",20.10%,"1,31,900","Santa Clara, California"
65,HP,Technology,"62,983",0.80%,"58,000","Palo Alto, California"
66,TD Synnex,Infotech,"62,344",97.20%,"28,500","Clearwater, Florida"
67,IBM,Technology and cloud computing,"60,530",16.30%,"3,03,100","Armonk, New York"
68,HCA Healthcare,Healthcare,"60,233",2.50%,"2,50,500","Nashville, Tennessee"
69,Prudential Financial,Financials,"60,050",15.30%,"39,583","Newark, New Jersey"
70,Caterpillar,Machinery,"59,427",16.60%,"1,09,100","Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,"59,283",15.80%,"68,000","Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and logistics,"59,043",88.40%,"5,214","Miami, Florida"
73,New York Life Insurance Company,Insurance,"58,445",14.20%,"15,050","New York City, New York"
74,Enterprise Products,Petroleum industry,"58,186",42.60%,"7,300","Houston, Texas"
75,AbbVie,Pharmaceutical industry,"58,054",3.30%,"50,000","Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,"57,342",36.30%,"4,100","Houston, Texas"
77,Dow Chemical Company,Chemical industry,"56,902",3.50%,"37,800","Midland, Michigan"
78,AIG,Insurance,"56,437",8.40%,"26,200","New York City, New York"
79,American Express,Financial,"55,625",27.30%,"77,300","New York City, New York"
80,Publix,Retail,"54,942",13.50%,"2,42,000","Lakeland, Florida"
81,Charter Communications,Telecommunications,"54,022",4.50%,"1,01,700","Stamford, Connecticut"
82,Tyson Foods,Food processing,"53,282",13.20%,"1,42,000","Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,"52,577",19.40%,"82,239","Moline, Illinois"
84,Cisco,Telecom hardware manufacturing,"51,557",3.50%,"83,300","San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,"51,450",8.60%,"24,791","Columbus, Ohio"
86,Allstate,Insurance,"51,412",3.40%,"54,250","Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,"50,582",69.20%,"95,000","Atlanta, Georgia"
88,Liberty Mutual,Insurance,"49,956",3.60%,"50,000","Boston, Massachusetts"
89,TJX,Retail,"49,936",2.90%,"3,29,000","Framingham, Massachusetts"
90,Progressive Corporation,Insurance,"49,611",4.00%,"55,063","Mayfield Village, Ohio"
91,American Airlines,Airline,"48,971",63.90%,"1,29,700","Fort Worth, Texas"
92,CHS,Agriculture cooperative,"47,194",24.30%,"10,014","Inver Grove Heights, Minnesota"
93,Performance Food Group,Food processing,"47,194",61.60%,"34,825","Richmond, Virginia"
94,PBF Energy,Petroleum industry,"46,830",71.80%,"3,616","Parsippanyâ€“Troy Hills, New Jersey"
95,Nike,Apparel,"46,710",4.90%,"79,100","Beaverton, Oregon"
96,Best Buy,Retail,"46,298",10.60%,"71,100","Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.50%,"34,300","New York City, New York"
98,United Airlines,Airline,"44,955",82.50%,"92,795","Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.50%,"1,30,000","Waltham, Massachusetts"
100,Qualcomm,Technology,"44,200",31.70%,"51,000","San Diego, California"